FieldID,Region,FieldArea_ha,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,PloughDepth_cm,PloughMethod,SoilAdjustment_kgLime,IrrigationAdvice,SeedAmount_kg,PlantSpacing_cm,Fertilizer_Basal_Urea_kg,Fertilizer_Basal_TSP_kg,Fertilizer_Basal_MOP_kg,WaterManagementAdvice_Stage4,TillerIncreaseTip,Fertilizer_2ndDose_Urea_kg,Fertilizer_2ndDose_TSP_kg,Fertilizer_2ndDose_MOP_kg,WaterControlAdvice_Stage5,WaterControlAdvice_Stage6,PesticideSuggestion,HumidityTarget_%,WaterLevelAdvice_Stage7,PredictedYield_kg_ha,HarvestingDate,FinalMoisture_%,PostHarvestAdvice
83,Wet Low,2.96,4.77,27.8,88.6,1753.6,13,Mouldboard,630,Maintain 5cm water,151.4,18,355.2,213.12,177.6,Maintain 3-5cm water,Increase spacing,142.08,85.25,71.04,Maintain 5cm water,Ensure moist soil,None,85.3,Maintain 3-5cm,5247.7,2026-02-25,15.5,Thresh immediately
84,Dry Low,4.94,4.18,27.4,76.7,2290.3,16,Rotavator,556,Irrigate weekly,274.9,18,592.8,355.68,296.4,Alternate wetting,Thin seedlings,237.12,142.27,118.56,Flood for 1 week,Ensure moist soil,Fipronil,87.8,Maintain 3-5cm,4903.5,2026-02-19,15.2,Store under shade
85,Dry Low,1.97,5.73,30.2,82.4,1485.9,13,Chisel,437,Maintain 5cm water,117.9,18,236.4,118.2,118.2,Alternate wetting,Thin seedlings,94.56,47.28,47.28,Reduce water 2 days,Reduce water pre-flowering,Fipronil,87.1,Maintain 3-5cm,5173.2,2026-02-23,15.3,Thresh immediately
86,Wet Low,3.69,7.24,27.1,75.2,1027.8,17,Chisel,496,Irrigate weekly,201.9,18,442.8,254.61,221.4,Alternate wetting,Thin seedlings,177.12,101.84,88.56,Maintain 5cm water,Reduce water pre-flowering,Fipronil,84.5,Shallow water 3 days,4336.0,2026-02-24,13.0,Sun-dry 3 days
87,Intermediate Low,4.05,6.28,29.9,82.0,848.9,14,Chisel,688,Maintain 5cm water,209.9,18,486.0,243.0,243.0,Keep flooded,Apply split N,194.4,97.2,97.2,Flood for 1 week,Ensure moist soil,Fipronil,88.6,Shallow water 3 days,5473.7,2026-02-22,14.2,Store under shade
88,Dry Low,1.95,5.78,31.7,75.8,2083.7,14,Rotavator,653,Irrigate weekly,107.0,22,234.0,117.0,117.0,Keep flooded,Increase spacing,93.6,46.8,46.8,Reduce water 2 days,Ensure moist soil,None,85.6,Alternate wetting,5725.6,2026-02-20,14.4,Store under shade
89,Wet Low,3.91,3.89,29.9,76.8,1854.5,14,Chisel,595,Start irrigation after 3 days,215.5,20,469.2,281.52,234.6,Alternate wetting,Increase spacing,187.68,112.61,93.84,Flood for 1 week,Maintain shallow flooding,None,85.4,Alternate wetting,4433.5,2026-02-22,13.1,Sun-dry 3 days
90,Dry Low,2.47,5.96,28.9,76.8,1996.9,17,Mouldboard,485,Irrigate weekly,141.8,19,296.4,148.2,148.2,Alternate wetting,Thin seedlings,118.56,59.28,59.28,Reduce water 2 days,Maintain shallow flooding,None,80.3,Shallow water 3 days,4191.4,2026-02-19,13.8,Sun-dry 3 days
91,Dry Low,3.53,7.46,30.2,84.7,1162.0,14,Mouldboard,721,Irrigate weekly,201.2,18,423.6,243.57,211.8,Alternate wetting,Apply split N,169.44,97.43,84.72,Flood for 1 week,Reduce water pre-flowering,Chlorpyrifos,89.9,Alternate wetting,4047.3,2026-02-25,15.3,Sun-dry 3 days
92,Dry Low,3.53,4.06,29.3,86.2,1031.8,15,Rotavator,409,Irrigate weekly,190.7,24,423.6,254.16,211.8,Keep flooded,Apply split N,169.44,101.66,84.72,Reduce water 2 days,Ensure moist soil,Fipronil,81.2,Shallow water 3 days,5283.9,2026-02-20,13.4,Store under shade
93,Dry Low,3.14,5.57,29.7,83.8,824.7,16,Mouldboard,404,Irrigate weekly,163.8,20,376.8,188.4,188.4,Keep flooded,Increase spacing,150.72,75.36,75.36,Maintain 5cm water,Reduce water pre-flowering,Fipronil,82.3,Maintain 3-5cm,5214.2,2026-02-20,14.6,Thresh immediately
94,Intermediate Low,1.36,7.01,31.7,89.4,1396.0,13,Mouldboard,522,Maintain 5cm water,76.8,20,163.2,93.84,81.6,Maintain 3-5cm water,Apply split N,65.28,37.54,32.64,Reduce water 2 days,Ensure moist soil,None,80.5,Maintain 3-5cm,5093.4,2026-02-27,13.6,Store under shade
95,Dry Low,4.34,6.46,28.9,80.6,1802.9,13,Rotavator,729,Start irrigation after 3 days,235.3,19,520.8,260.4,260.4,Maintain 3-5cm water,Apply split N,208.32,104.16,104.16,Flood for 1 week,Maintain shallow flooding,Fipronil,86.4,Alternate wetting,4463.9,2026-02-23,13.0,Thresh immediately
96,Dry Low,2.28,6.29,31.8,79.3,1466.8,17,Chisel,752,Irrigate weekly,117.0,22,273.6,136.8,136.8,Alternate wetting,Thin seedlings,109.44,54.72,54.72,Flood for 1 week,Reduce water pre-flowering,Fipronil,82.2,Shallow water 3 days,4781.8,2026-02-20,13.7,Store under shade
97,Dry Low,1.75,6.31,31.5,88.0,1543.7,14,Chisel,517,Maintain 5cm water,103.3,21,210.0,105.0,105.0,Keep flooded,Apply split N,84.0,42.0,42.0,Reduce water 2 days,Reduce water pre-flowering,None,81.8,Shallow water 3 days,5189.0,2026-02-27,15.9,Store under shade
98,Intermediate Low,1.16,4.94,28.0,78.4,2337.1,14,Chisel,693,Start irrigation after 3 days,66.0,21,139.2,83.52,69.6,Keep flooded,Thin seedlings,55.68,33.41,27.84,Maintain 5cm water,Ensure moist soil,Chlorpyrifos,80.9,Alternate wetting,4993.5,2026-02-27,15.4,Sun-dry 3 days
99,Dry Low,3.36,4.67,27.3,89.4,1392.0,12,Rotavator,796,Start irrigation after 3 days,191.0,20,403.2,241.92,201.6,Keep flooded,Increase spacing,161.28,96.77,80.64,Maintain 5cm water,Maintain shallow flooding,Chlorpyrifos,81.0,Shallow water 3 days,5975.6,2026-02-19,15.9,Thresh immediately
100,Dry Low,3.71,6.74,27.5,75.2,1673.8,16,Mouldboard,558,Start irrigation after 3 days,216.0,23,445.2,222.6,222.6,Alternate wetting,Apply split N,178.08,89.04,89.04,Reduce water 2 days,Reduce water pre-flowering,Chlorpyrifos,85.8,Maintain 3-5cm,4272.9,2026-02-21,14.5,Store under shade
