FieldID,Region,FieldArea_ha,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,PloughDepth_cm,PloughMethod,SoilAdjustment_kgLime,IrrigationAdvice,SeedAmount_kg,PlantSpacing_cm,Fertilizer_Basal_Urea_kg,Fertilizer_Basal_TSP_kg,Fertilizer_Basal_MOP_kg,WaterManagementAdvice_Stage4,TillerIncreaseTip,Fertilizer_2ndDose_Urea_kg,Fertilizer_2ndDose_TSP_kg,Fertilizer_2ndDose_MOP_kg,WaterControlAdvice_Stage5,WaterControlAdvice_Stage6,PesticideSuggestion,HumidityTarget_%,WaterLevelAdvice_Stage7,PredictedYield_kg_ha,HarvestingDate,FinalMoisture_%,PostHarvestAdvice
238,Wet Low,1.58,5.68,28.2,79.8,2418.0,13,Mouldboard,597,Irrigate weekly,84.0,23,189.6,113.76,94.8,Maintain 3-5cm water,Increase spacing,75.84,45.5,37.92,Reduce water 2 days,Reduce water pre-flowering,Fipronil,89.7,Maintain 3-5cm,5538.7,2026-02-20,14.3,Store under shade
239,Wet Low,2.8,7.43,28.6,87.6,2144.3,17,Chisel,748,Maintain 5cm water,157.8,23,336.0,168.0,168.0,Maintain 3-5cm water,Increase spacing,134.4,67.2,67.2,Flood for 1 week,Ensure moist soil,nan,87.1,Shallow water 3 days,5662.9,2026-02-19,15.9,Store under shade
240,Intermediate Low,3.35,5.3,29.0,84.8,1435.7,13,Mouldboard,704,Maintain 5cm water,174.5,21,402.0,201.0,201.0,Alternate wetting,Thin seedlings,160.8,80.4,80.4,Flood for 1 week,Maintain shallow flooding,nan,84.2,Shallow water 3 days,4266.2,2026-02-20,14.7,Thresh immediately
241,Wet Low,4.79,5.55,28.2,79.1,1756.8,16,Mouldboard,463,Start irrigation after 3 days,272.0,23,574.8,287.4,287.4,Keep flooded,Increase spacing,229.92,114.96,114.96,Flood for 1 week,Maintain shallow flooding,Fipronil,89.5,Shallow water 3 days,5583.7,2026-02-23,14.0,Sun-dry 3 days
242,Wet Low,2.01,7.46,28.0,89.5,880.5,12,Chisel,689,Irrigate weekly,104.8,20,241.2,120.6,120.6,Maintain 3-5cm water,Increase spacing,96.48,48.24,48.24,Maintain 5cm water,Reduce water pre-flowering,Chlorpyrifos,89.7,Alternate wetting,4866.0,2026-02-24,13.3,Store under shade
243,Dry Low,2.44,4.43,31.8,79.8,870.1,17,Rotavator,417,Start irrigation after 3 days,130.3,23,292.8,175.68,146.4,Keep flooded,Thin seedlings,117.12,58.56,58.56,Reduce water 2 days,Ensure moist soil,Fipronil,89.4,Shallow water 3 days,4046.7,2026-02-22,14.1,Thresh immediately
244,Dry Low,2.52,7.27,31.6,90.0,1226.4,16,Mouldboard,463,Irrigate weekly,135.1,19,302.4,151.2,151.2,Keep flooded,Thin seedlings,120.96,60.48,60.48,Flood for 1 week,Maintain shallow flooding,Chlorpyrifos,84.1,Maintain 3-5cm,4120.2,2026-02-26,14.7,Thresh immediately
245,Intermediate Low,3.42,3.67,27.2,89.9,1972.5,14,Rotavator,761,Irrigate weekly,181.1,21,410.4,205.2,205.2,Maintain 3-5cm water,Apply split N,164.16,98.5,82.08,Maintain 5cm water,Ensure moist soil,Chlorpyrifos,87.9,Shallow water 3 days,5355.8,2026-02-24,15.1,Thresh immediately
246,Wet Low,2.43,5.29,28.7,77.9,2248.7,16,Rotavator,729,Maintain 5cm water,133.4,19,291.6,145.8,145.8,Maintain 3-5cm water,Thin seedlings,116.64,69.98,58.32,Reduce water 2 days,Maintain shallow flooding,nan,86.5,Maintain 3-5cm,4744.0,2026-02-20,15.6,Thresh immediately
247,Wet Low,3.13,3.78,29.0,79.7,1750.6,16,Mouldboard,757,Irrigate weekly,168.1,21,375.6,225.36,187.8,Maintain 3-5cm water,Apply split N,150.24,90.14,75.12,Reduce water 2 days,Maintain shallow flooding,Chlorpyrifos,81.8,Shallow water 3 days,5736.2,2026-02-22,15.8,Thresh immediately
248,Wet Low,4.13,6.42,28.2,82.3,1704.6,14,Mouldboard,650,Maintain 5cm water,239.4,19,495.6,247.8,247.8,Alternate wetting,Increase spacing,198.24,118.94,99.12,Reduce water 2 days,Ensure moist soil,nan,85.4,Shallow water 3 days,5468.5,2026-02-28,13.3,Sun-dry 3 days
249,Intermediate Low,3.82,5.93,30.1,85.0,1483.9,16,Chisel,416,Irrigate weekly,211.9,18,458.4,229.2,229.2,Maintain 3-5cm water,Apply split N,183.36,91.68,91.68,Flood for 1 week,Ensure moist soil,Chlorpyrifos,87.5,Maintain 3-5cm,4043.4,2026-02-19,14.8,Thresh immediately
250,Intermediate Low,2.79,6.33,30.2,82.9,1074.7,12,Chisel,540,Maintain 5cm water,154.6,22,334.8,167.4,167.4,Keep flooded,Thin seedlings,133.92,66.96,66.96,Flood for 1 week,Reduce water pre-flowering,Chlorpyrifos,89.0,Shallow water 3 days,5373.8,2026-02-27,15.0,Thresh immediately
251,Dry Low,4.46,5.0,31.3,89.5,1001.2,17,Mouldboard,707,Irrigate weekly,237.8,22,535.2,267.6,267.6,Keep flooded,Increase spacing,214.08,107.04,107.04,Flood for 1 week,Reduce water pre-flowering,nan,88.6,Maintain 3-5cm,4384.7,2026-02-24,13.5,Thresh immediately
252,Intermediate Low,3.23,4.98,30.7,85.9,2093.2,15,Rotavator,719,Start irrigation after 3 days,175.9,21,387.6,232.56,193.8,Alternate wetting,Apply split N,155.04,77.52,77.52,Reduce water 2 days,Reduce water pre-flowering,Chlorpyrifos,81.5,Maintain 3-5cm,4845.2,2026-02-28,14.6,Thresh immediately
253,Wet Low,3.16,3.68,29.7,78.2,2376.8,14,Chisel,644,Irrigate weekly,166.7,18,379.2,227.52,189.6,Maintain 3-5cm water,Apply split N,151.68,75.84,75.84,Reduce water 2 days,Reduce water pre-flowering,Fipronil,84.9,Maintain 3-5cm,5249.5,2026-02-24,14.0,Thresh immediately
254,Wet Low,1.14,4.9,30.3,76.6,1579.1,17,Chisel,689,Start irrigation after 3 days,64.5,20,136.8,68.4,68.4,Maintain 3-5cm water,Apply split N,54.72,27.36,27.36,Flood for 1 week,Ensure moist soil,Chlorpyrifos,84.8,Shallow water 3 days,5745.4,2026-02-27,13.2,Thresh immediately
255,Intermediate Low,4.95,7.22,28.4,85.3,1921.1,13,Mouldboard,750,Irrigate weekly,267.2,18,594.0,297.0,297.0,Alternate wetting,Increase spacing,237.6,118.8,118.8,Flood for 1 week,Reduce water pre-flowering,nan,89.0,Shallow water 3 days,4912.2,2026-02-24,13.2,Thresh immediately
256,Wet Low,1.49,5.02,30.0,77.4,2354.6,12,Mouldboard,486,Irrigate weekly,84.2,24,178.8,107.28,89.4,Alternate wetting,Apply split N,71.52,35.76,35.76,Reduce water 2 days,Ensure moist soil,nan,80.0,Maintain 3-5cm,5617.0,2026-02-19,15.3,Store under shade
257,Wet Low,1.92,6.83,29.4,86.8,953.2,15,Mouldboard,598,Maintain 5cm water,104.1,21,230.4,138.24,115.2,Maintain 3-5cm water,Apply split N,92.16,55.3,46.08,Reduce water 2 days,Maintain shallow flooding,Fipronil,87.4,Shallow water 3 days,5565.9,2026-02-27,14.8,Store under shade
258,Intermediate Low,1.21,6.87,27.7,79.7,2109.8,12,Mouldboard,757,Irrigate weekly,70.1,18,145.2,87.12,72.6,Maintain 3-5cm water,Thin seedlings,58.08,29.04,29.04,Maintain 5cm water,Ensure moist soil,Chlorpyrifos,86.2,Alternate wetting,4829.1,2026-02-27,15.1,Thresh immediately
259,Intermediate Low,3.56,4.99,28.2,79.9,1848.6,12,Chisel,560,Irrigate weekly,188.8,20,427.2,256.32,213.6,Keep flooded,Apply split N,170.88,102.53,85.44,Maintain 5cm water,Reduce water pre-flowering,Fipronil,89.2,Maintain 3-5cm,5002.0,2026-02-26,15.1,Sun-dry 3 days
260,Wet Low,1.9,6.03,28.5,75.2,1817.7,13,Chisel,539,Irrigate weekly,98.8,21,228.0,114.0,114.0,Maintain 3-5cm water,Increase spacing,91.2,45.6,45.6,Flood for 1 week,Ensure moist soil,Chlorpyrifos,84.6,Maintain 3-5cm,5401.0,2026-02-19,13.4,Thresh immediately
261,Wet Low,1.72,3.88,31.6,85.5,1297.3,15,Chisel,475,Start irrigation after 3 days,95.6,22,206.4,123.84,103.2,Maintain 3-5cm water,Thin seedlings,82.56,41.28,41.28,Reduce water 2 days,Ensure moist soil,Fipronil,86.6,Alternate wetting,4062.3,2026-02-19,13.5,Sun-dry 3 days
262,Wet Low,1.35,3.91,28.2,76.7,1962.6,12,Rotavator,418,Maintain 5cm water,77.9,23,162.0,81.0,81.0,Keep flooded,Increase spacing,64.8,38.88,32.4,Reduce water 2 days,Ensure moist soil,nan,89.7,Alternate wetting,5781.6,2026-02-25,13.8,Sun-dry 3 days
263,Dry Low,1.41,3.69,28.4,86.6,2151.2,13,Chisel,792,Maintain 5cm water,78.8,18,169.2,101.52,84.6,Keep flooded,Thin seedlings,67.68,33.84,33.84,Maintain 5cm water,Ensure moist soil,nan,87.4,Maintain 3-5cm,5539.6,2026-02-27,14.2,Sun-dry 3 days
264,Dry Low,3.34,5.82,28.8,82.4,991.9,14,Chisel,729,Irrigate weekly,175.4,22,400.8,200.4,200.4,Keep flooded,Thin seedlings,160.32,80.16,80.16,Reduce water 2 days,Ensure moist soil,Fipronil,80.7,Alternate wetting,4498.8,2026-02-19,15.8,Sun-dry 3 days
265,Dry Low,3.75,5.2,30.3,86.8,1707.0,13,Mouldboard,449,Irrigate weekly,207.2,22,450.0,270.0,225.0,Keep flooded,Apply split N,180.0,108.0,90.0,Flood for 1 week,Reduce water pre-flowering,Chlorpyrifos,81.7,Maintain 3-5cm,5962.4,2026-02-24,15.0,Sun-dry 3 days
266,Intermediate Low,2.59,5.69,27.6,83.8,972.2,16,Chisel,631,Start irrigation after 3 days,148.8,19,310.8,155.4,155.4,Alternate wetting,Increase spacing,124.32,62.16,62.16,Maintain 5cm water,Ensure moist soil,Chlorpyrifos,88.2,Shallow water 3 days,4358.8,2026-02-22,13.8,Store under shade
267,Dry Low,2.92,5.58,31.8,76.2,2283.4,17,Chisel,694,Irrigate weekly,152.0,20,350.4,210.24,175.2,Keep flooded,Apply split N,140.16,84.1,70.08,Reduce water 2 days,Reduce water pre-flowering,nan,83.3,Alternate wetting,5828.2,2026-02-20,13.2,Thresh immediately
268,Intermediate Low,3.74,4.9,31.3,86.5,1663.0,13,Chisel,793,Maintain 5cm water,198.2,24,448.8,269.28,224.4,Alternate wetting,Thin seedlings,179.52,89.76,89.76,Reduce water 2 days,Maintain shallow flooding,Chlorpyrifos,87.1,Maintain 3-5cm,4648.9,2026-02-27,15.1,Store under shade
269,Intermediate Low,1.07,6.21,29.9,76.0,2173.5,13,Mouldboard,411,Maintain 5cm water,60.9,23,128.4,64.2,64.2,Keep flooded,Apply split N,51.36,25.68,25.68,Flood for 1 week,Ensure moist soil,Fipronil,87.0,Maintain 3-5cm,5526.3,2026-02-22,14.9,Store under shade
270,Dry Low,2.29,6.53,30.4,82.2,1425.7,13,Chisel,734,Start irrigation after 3 days,131.4,18,274.8,137.4,137.4,Keep flooded,Thin seedlings,109.92,65.95,54.96,Reduce water 2 days,Maintain shallow flooding,Fipronil,89.9,Maintain 3-5cm,4912.8,2026-02-21,15.0,Thresh immediately
271,Dry Low,4.89,3.56,27.1,77.6,1012.6,12,Chisel,414,Start irrigation after 3 days,275.0,22,586.8,352.08,293.4,Keep flooded,Thin seedlings,234.72,117.36,117.36,Maintain 5cm water,Reduce water pre-flowering,Chlorpyrifos,84.7,Alternate wetting,5472.9,2026-02-22,13.8,Store under shade
272,Dry Low,3.32,4.33,28.7,86.3,870.5,15,Rotavator,427,Maintain 5cm water,192.4,22,398.4,199.2,199.2,Maintain 3-5cm water,Increase spacing,159.36,95.62,79.68,Maintain 5cm water,Ensure moist soil,nan,87.4,Shallow water 3 days,4311.6,2026-02-19,14.6,Thresh immediately
273,Wet Low,2.02,6.35,31.0,88.7,1278.6,13,Rotavator,787,Start irrigation after 3 days,106.1,24,242.4,121.2,121.2,Alternate wetting,Increase spacing,96.96,48.48,48.48,Reduce water 2 days,Maintain shallow flooding,nan,80.5,Shallow water 3 days,4539.0,2026-02-25,14.1,Thresh immediately
274,Dry Low,3.09,5.05,27.4,83.3,1215.2,13,Rotavator,691,Irrigate weekly,170.8,20,370.8,222.48,185.4,Keep flooded,Increase spacing,148.32,74.16,74.16,Reduce water 2 days,Reduce water pre-flowering,nan,84.6,Alternate wetting,4199.7,2026-02-28,15.5,Thresh immediately
275,Wet Low,2.37,6.15,28.4,82.9,1752.6,16,Rotavator,774,Irrigate weekly,133.0,23,284.4,170.64,142.2,Maintain 3-5cm water,Increase spacing,113.76,68.26,56.88,Reduce water 2 days,Maintain shallow flooding,nan,81.9,Maintain 3-5cm,5730.3,2026-02-20,13.2,Thresh immediately
276,Intermediate Low,3.13,4.89,29.9,86.5,837.0,16,Mouldboard,720,Start irrigation after 3 days,176.0,23,375.6,225.36,187.8,Alternate wetting,Apply split N,150.24,75.12,75.12,Reduce water 2 days,Ensure moist soil,nan,88.4,Maintain 3-5cm,4592.6,2026-02-27,13.8,Sun-dry 3 days
277,Wet Low,1.5,5.06,28.3,75.1,1685.0,14,Rotavator,649,Maintain 5cm water,85.1,24,180.0,90.0,90.0,Alternate wetting,Increase spacing,72.0,43.2,36.0,Maintain 5cm water,Ensure moist soil,Fipronil,88.4,Maintain 3-5cm,5389.0,2026-02-23,14.8,Sun-dry 3 days
278,Dry Low,1.53,4.13,31.7,88.8,1466.0,14,Chisel,497,Start irrigation after 3 days,88.0,22,183.6,110.16,91.8,Maintain 3-5cm water,Increase spacing,73.44,36.72,36.72,Flood for 1 week,Ensure moist soil,Chlorpyrifos,82.4,Alternate wetting,5640.4,2026-02-27,13.6,Store under shade
279,Intermediate Low,1.57,4.53,27.7,78.0,1781.1,16,Rotavator,702,Maintain 5cm water,85.0,22,188.4,113.04,94.2,Alternate wetting,Increase spacing,75.36,45.22,37.68,Maintain 5cm water,Reduce water pre-flowering,Fipronil,83.2,Alternate wetting,5802.8,2026-02-22,15.0,Thresh immediately
280,Intermediate Low,4.76,5.92,31.0,89.8,1994.1,15,Mouldboard,736,Start irrigation after 3 days,248.7,22,571.2,285.6,285.6,Maintain 3-5cm water,Thin seedlings,228.48,137.09,114.24,Reduce water 2 days,Maintain shallow flooding,nan,87.0,Maintain 3-5cm,4212.6,2026-02-22,13.4,Thresh immediately
281,Intermediate Low,3.93,5.23,29.5,86.0,1878.0,14,Rotavator,438,Start irrigation after 3 days,212.9,22,471.6,235.8,235.8,Keep flooded,Thin seedlings,188.64,113.18,94.32,Reduce water 2 days,Reduce water pre-flowering,nan,87.4,Maintain 3-5cm,5786.0,2026-02-27,13.1,Thresh immediately
282,Wet Low,1.65,6.6,30.8,86.6,2473.9,17,Rotavator,437,Start irrigation after 3 days,92.4,19,198.0,118.8,99.0,Maintain 3-5cm water,Increase spacing,79.2,47.52,39.6,Maintain 5cm water,Maintain shallow flooding,Chlorpyrifos,86.6,Maintain 3-5cm,4394.5,2026-02-22,15.6,Thresh immediately
283,Dry Low,1.75,6.91,28.6,84.8,1035.1,17,Mouldboard,699,Irrigate weekly,93.2,19,210.0,105.0,105.0,Alternate wetting,Thin seedlings,84.0,42.0,42.0,Maintain 5cm water,Reduce water pre-flowering,Chlorpyrifos,90.0,Alternate wetting,5473.8,2026-02-21,14.0,Sun-dry 3 days
284,Intermediate Low,3.92,5.67,29.6,82.1,1530.6,15,Mouldboard,578,Irrigate weekly,222.9,24,470.4,235.2,235.2,Alternate wetting,Thin seedlings,188.16,112.9,94.08,Reduce water 2 days,Ensure moist soil,Chlorpyrifos,88.7,Alternate wetting,5457.7,2026-02-28,13.5,Sun-dry 3 days
285,Intermediate Low,1.62,6.53,31.3,83.6,1522.2,16,Mouldboard,496,Maintain 5cm water,86.4,23,194.4,116.64,97.2,Keep flooded,Apply split N,77.76,38.88,38.88,Maintain 5cm water,Maintain shallow flooding,Fipronil,84.2,Shallow water 3 days,4017.0,2026-02-28,13.5,Sun-dry 3 days
286,Intermediate Low,1.94,4.73,29.3,75.7,1509.0,14,Mouldboard,779,Start irrigation after 3 days,101.0,21,232.8,116.4,116.4,Maintain 3-5cm water,Thin seedlings,93.12,46.56,46.56,Reduce water 2 days,Maintain shallow flooding,Chlorpyrifos,83.3,Maintain 3-5cm,4441.2,2026-02-28,15.7,Store under shade
287,Wet Low,4.85,5.16,28.8,84.4,1928.5,13,Mouldboard,681,Irrigate weekly,267.0,18,582.0,291.0,291.0,Keep flooded,Apply split N,232.8,116.4,116.4,Maintain 5cm water,Maintain shallow flooding,Fipronil,86.0,Maintain 3-5cm,4983.8,2026-02-26,15.0,Thresh immediately
288,Wet Low,2.02,6.35,29.7,84.4,1632.7,16,Mouldboard,637,Start irrigation after 3 days,113.8,20,242.4,121.2,121.2,Maintain 3-5cm water,Thin seedlings,96.96,58.18,48.48,Reduce water 2 days,Reduce water pre-flowering,nan,88.2,Shallow water 3 days,4840.1,2026-02-25,15.9,Sun-dry 3 days
289,Dry Low,3.65,5.04,30.6,88.4,1679.6,14,Chisel,563,Maintain 5cm water,197.5,21,438.0,262.8,219.0,Maintain 3-5cm water,Increase spacing,175.2,105.12,87.6,Maintain 5cm water,Ensure moist soil,Fipronil,84.8,Maintain 3-5cm,5837.1,2026-02-22,15.4,Sun-dry 3 days
290,Wet Low,4.91,5.85,29.2,82.6,1535.0,15,Rotavator,496,Irrigate weekly,277.4,19,589.2,294.6,294.6,Maintain 3-5cm water,Thin seedlings,235.68,117.84,117.84,Reduce water 2 days,Maintain shallow flooding,Chlorpyrifos,87.4,Shallow water 3 days,4719.5,2026-02-26,15.3,Thresh immediately
291,Intermediate Low,2.5,4.24,31.7,76.2,2485.9,17,Rotavator,656,Maintain 5cm water,136.6,19,300.0,180.0,150.0,Keep flooded,Thin seedlings,120.0,60.0,60.0,Flood for 1 week,Reduce water pre-flowering,Fipronil,80.2,Alternate wetting,5874.0,2026-02-28,14.5,Sun-dry 3 days
292,Dry Low,1.07,5.9,28.5,79.6,2376.9,15,Mouldboard,708,Irrigate weekly,56.7,19,128.4,77.04,64.2,Keep flooded,Apply split N,51.36,25.68,25.68,Flood for 1 week,Maintain shallow flooding,Fipronil,89.3,Shallow water 3 days,4918.9,2026-02-27,15.5,Thresh immediately
293,Intermediate Low,1.98,6.95,29.4,84.8,1323.1,14,Mouldboard,661,Start irrigation after 3 days,104.0,21,237.6,118.8,118.8,Alternate wetting,Increase spacing,95.04,57.02,47.52,Maintain 5cm water,Ensure moist soil,Fipronil,87.7,Shallow water 3 days,5928.7,2026-02-22,14.2,Thresh immediately
294,Intermediate Low,4.32,6.97,30.8,78.6,989.7,15,Chisel,692,Maintain 5cm water,243.1,19,518.4,311.04,259.2,Keep flooded,Apply split N,207.36,124.42,103.68,Flood for 1 week,Maintain shallow flooding,Chlorpyrifos,83.9,Alternate wetting,5474.7,2026-02-26,15.5,Sun-dry 3 days
295,Wet Low,4.46,6.4,30.4,79.2,2227.6,14,Chisel,657,Irrigate weekly,242.2,21,535.2,321.12,267.6,Maintain 3-5cm water,Increase spacing,214.08,128.45,107.04,Reduce water 2 days,Ensure moist soil,Fipronil,83.8,Maintain 3-5cm,5658.7,2026-02-22,15.3,Store under shade
296,Dry Low,4.07,6.48,31.3,87.3,2495.2,14,Mouldboard,648,Irrigate weekly,233.9,19,488.4,293.04,244.2,Maintain 3-5cm water,Increase spacing,195.36,97.68,97.68,Maintain 5cm water,Reduce water pre-flowering,Chlorpyrifos,81.0,Shallow water 3 days,4209.8,2026-02-21,15.0,Thresh immediately
297,Wet Low,1.45,5.73,32.0,83.8,1297.4,15,Chisel,644,Start irrigation after 3 days,80.1,22,174.0,87.0,87.0,Maintain 3-5cm water,Apply split N,69.6,41.76,34.8,Maintain 5cm water,Reduce water pre-flowering,Fipronil,88.2,Shallow water 3 days,5172.3,2026-02-21,14.0,Store under shade
298,Wet Low,4.18,5.84,29.1,82.6,1408.2,12,Chisel,650,Maintain 5cm water,226.1,22,501.6,300.96,250.8,Keep flooded,Thin seedlings,200.64,120.38,100.32,Reduce water 2 days,Ensure moist soil,Fipronil,87.7,Maintain 3-5cm,4285.4,2026-02-25,14.9,Sun-dry 3 days
299,Dry Low,4.67,4.03,27.6,79.8,2400.8,13,Mouldboard,522,Maintain 5cm water,252.6,18,560.4,336.24,280.2,Alternate wetting,Increase spacing,224.16,134.5,112.08,Reduce water 2 days,Ensure moist soil,Fipronil,86.3,Shallow water 3 days,4595.2,2026-02-19,14.5,Thresh immediately
300,Intermediate Low,3.4,5.28,27.2,86.0,2008.9,16,Mouldboard,724,Maintain 5cm water,179.5,19,408.0,244.8,204.0,Keep flooded,Thin seedlings,163.2,97.92,81.6,Reduce water 2 days,Reduce water pre-flowering,Chlorpyrifos,81.0,Alternate wetting,5247.1,2026-02-23,14.4,Thresh immediately
301,Intermediate Low,4.76,5.3,30.6,79.3,1302.6,17,Mouldboard,568,Start irrigation after 3 days,264.5,24,571.2,342.72,285.6,Alternate wetting,Apply split N,228.48,114.24,114.24,Maintain 5cm water,Ensure moist soil,Chlorpyrifos,82.6,Shallow water 3 days,5452.5,2026-02-28,16.0,Sun-dry 3 days
302,Dry Low,4.31,7.33,31.4,86.1,1787.8,13,Mouldboard,574,Irrigate weekly,239.2,18,517.2,310.32,258.6,Keep flooded,Apply split N,206.88,103.44,103.44,Reduce water 2 days,Ensure moist soil,Chlorpyrifos,84.6,Maintain 3-5cm,4078.4,2026-02-19,14.5,Store under shade
303,Intermediate Low,3.67,5.22,28.1,76.1,2405.2,16,Rotavator,668,Irrigate weekly,208.5,21,440.4,264.24,220.2,Maintain 3-5cm water,Apply split N,176.16,88.08,88.08,Flood for 1 week,Maintain shallow flooding,nan,82.7,Maintain 3-5cm,5061.9,2026-02-25,13.1,Sun-dry 3 days
304,Dry Low,3.31,5.7,27.8,88.0,2180.1,16,Rotavator,603,Maintain 5cm water,176.1,18,397.2,238.32,198.6,Alternate wetting,Apply split N,158.88,79.44,79.44,Maintain 5cm water,Reduce water pre-flowering,Chlorpyrifos,84.3,Shallow water 3 days,5130.6,2026-02-20,14.9,Sun-dry 3 days
305,Dry Low,2.39,5.63,27.3,82.5,2061.1,17,Mouldboard,724,Irrigate weekly,128.4,19,286.8,143.4,143.4,Keep flooded,Increase spacing,114.72,68.83,57.36,Reduce water 2 days,Reduce water pre-flowering,Fipronil,82.3,Maintain 3-5cm,4157.7,2026-02-19,15.2,Sun-dry 3 days
306,Wet Low,1.64,6.05,31.1,81.6,2052.9,13,Chisel,465,Maintain 5cm water,86.2,21,196.8,98.4,98.4,Maintain 3-5cm water,Apply split N,78.72,39.36,39.36,Maintain 5cm water,Ensure moist soil,nan,83.5,Maintain 3-5cm,5001.4,2026-02-23,15.7,Store under shade
307,Dry Low,3.42,6.49,28.6,84.2,1102.6,17,Mouldboard,714,Start irrigation after 3 days,183.9,24,410.4,205.2,205.2,Alternate wetting,Thin seedlings,164.16,82.08,82.08,Flood for 1 week,Ensure moist soil,Chlorpyrifos,86.5,Shallow water 3 days,5427.7,2026-02-23,14.9,Thresh immediately
308,Wet Low,2.27,4.4,29.0,84.4,2202.0,14,Rotavator,723,Start irrigation after 3 days,123.9,21,272.4,163.44,136.2,Alternate wetting,Thin seedlings,108.96,54.48,54.48,Flood for 1 week,Ensure moist soil,Chlorpyrifos,88.9,Shallow water 3 days,4106.5,2026-02-27,13.1,Thresh immediately
309,Intermediate Low,4.47,5.61,29.5,77.0,1269.4,17,Chisel,458,Start irrigation after 3 days,258.3,22,536.4,321.84,268.2,Maintain 3-5cm water,Increase spacing,214.56,107.28,107.28,Reduce water 2 days,Reduce water pre-flowering,nan,83.9,Maintain 3-5cm,5520.5,2026-02-22,13.4,Sun-dry 3 days
310,Intermediate Low,4.97,6.8,31.2,86.3,2381.6,15,Rotavator,618,Maintain 5cm water,277.9,21,596.4,298.2,298.2,Maintain 3-5cm water,Apply split N,238.56,119.28,119.28,Maintain 5cm water,Maintain shallow flooding,nan,86.9,Shallow water 3 days,5152.9,2026-02-21,13.5,Sun-dry 3 days
311,Intermediate Low,4.01,5.35,30.3,79.1,1419.9,12,Mouldboard,772,Irrigate weekly,227.4,21,481.2,288.72,240.6,Keep flooded,Increase spacing,192.48,115.49,96.24,Reduce water 2 days,Reduce water pre-flowering,Chlorpyrifos,81.3,Alternate wetting,5666.5,2026-02-19,13.6,Store under shade
312,Intermediate Low,1.36,4.61,30.1,88.6,2258.0,12,Rotavator,665,Start irrigation after 3 days,73.4,18,163.2,97.92,81.6,Keep flooded,Increase spacing,65.28,32.64,32.64,Maintain 5cm water,Maintain shallow flooding,nan,85.4,Shallow water 3 days,4436.1,2026-02-26,15.4,Sun-dry 3 days
313,Wet Low,2.15,6.12,27.9,87.3,1252.6,12,Rotavator,540,Maintain 5cm water,113.7,24,258.0,129.0,129.0,Maintain 3-5cm water,Increase spacing,103.2,61.92,51.6,Reduce water 2 days,Ensure moist soil,Fipronil,89.2,Maintain 3-5cm,5666.5,2026-02-19,13.9,Store under shade
314,Intermediate Low,1.44,6.8,29.6,80.2,1674.7,13,Rotavator,635,Maintain 5cm water,77.1,23,172.8,103.68,86.4,Keep flooded,Apply split N,69.12,41.47,34.56,Reduce water 2 days,Reduce water pre-flowering,Fipronil,80.3,Alternate wetting,4189.1,2026-02-23,13.9,Store under shade
315,Dry Low,3.6,3.75,30.6,87.1,981.7,13,Chisel,785,Start irrigation after 3 days,192.7,21,432.0,216.0,216.0,Maintain 3-5cm water,Thin seedlings,172.8,103.68,86.4,Maintain 5cm water,Maintain shallow flooding,Fipronil,82.7,Maintain 3-5cm,4807.7,2026-02-23,15.3,Store under shade
316,Dry Low,4.06,6.61,31.9,80.3,1922.2,14,Rotavator,617,Start irrigation after 3 days,225.3,20,487.2,243.6,243.6,Maintain 3-5cm water,Thin seedlings,194.88,97.44,97.44,Maintain 5cm water,Reduce water pre-flowering,Chlorpyrifos,81.3,Maintain 3-5cm,4399.0,2026-02-25,14.2,Sun-dry 3 days
317,Dry Low,4.7,6.79,28.0,76.5,2221.3,12,Chisel,414,Start irrigation after 3 days,254.0,23,564.0,338.4,282.0,Keep flooded,Increase spacing,225.6,112.8,112.8,Flood for 1 week,Maintain shallow flooding,Fipronil,85.3,Alternate wetting,5752.0,2026-02-23,13.2,Thresh immediately
318,Wet Low,2.75,5.35,27.0,89.4,2021.4,14,Mouldboard,701,Irrigate weekly,157.1,22,330.0,165.0,165.0,Keep flooded,Increase spacing,132.0,79.2,66.0,Flood for 1 week,Maintain shallow flooding,nan,86.8,Shallow water 3 days,5409.8,2026-02-19,14.8,Store under shade
319,Intermediate Low,4.61,7.43,27.4,84.8,1689.5,12,Mouldboard,537,Irrigate weekly,267.1,24,553.2,331.92,276.6,Alternate wetting,Thin seedlings,221.28,110.64,110.64,Maintain 5cm water,Reduce water pre-flowering,Fipronil,80.6,Maintain 3-5cm,4050.7,2026-02-25,13.4,Thresh immediately
320,Intermediate Low,4.51,6.65,28.9,81.8,876.7,13,Rotavator,631,Maintain 5cm water,243.8,24,541.2,324.72,270.6,Alternate wetting,Thin seedlings,216.48,129.89,108.24,Flood for 1 week,Ensure moist soil,nan,80.7,Shallow water 3 days,4019.0,2026-02-24,14.7,Store under shade
321,Intermediate Low,2.27,6.59,31.1,81.0,2386.8,15,Chisel,488,Start irrigation after 3 days,127.6,22,272.4,136.2,136.2,Keep flooded,Apply split N,108.96,65.38,54.48,Flood for 1 week,Reduce water pre-flowering,Fipronil,88.7,Shallow water 3 days,4582.5,2026-02-25,15.3,Sun-dry 3 days
